id,country,ccode,institution,recommendation,year,womensrightsissue,nomention,inaction,consideration,delegation,execution,compliance,vaw,econ,action,precision,documentname,session,recstate,case,finaljudgmentdate,recSource
CEDAW0015,Albania,339,CEDAW,"Pursue (in relationship with other stakeholders) awareness-raising campaigns through the media and public education programs to make violence against women socially  unacceptable, and to continue seeking international assistance towards this end.",2010,violence against women,0,0,0,1,0,1,true,false,4,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0016,Albania,339,CEDAW,Ensure that those offenders who commit trafficking are punished,2010,violence against women,0,0,0,1,1,0,true,false,3,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0017,Albania,339,CEDAW,Guarantee legal aid to victims of trafficking,2010,violence against women,0,0,0,1,1,0,true,false,3,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0018,Albania,339,CEDAW,Amend Penal Code to the effect that victims will not be subjected to prosecution or punishment for trafficking and that internal trafficking will also be covered under the criminal offence of trafficking in human beings,2010,violence against women,0,0,0,0,0,1,true,false,5,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0019,Albania,339,CEDAW,Stengthen preventive measures for trafficking victims (educational opportunities for disadvantaged groups),2010,violence against women,0,1,0,0,0,0,true,false,4,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0020,Albania,339,CEDAW,"Introduce exit programs, including social support and rehabilitation programs to diminish chances of retrafficking",2010,violence against women,0,0,0,1,1,0,true,false,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0021,Albania,339,CEDAW,Raise awareness of the importance of education for the empowerment of women and take concrete comprehensive steps to overcome traditional attitudes and other obstacles to the education of girls and women,2010,equality in education,0,0,0,1,1,0,false,true,4,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0022,Albania,339,CEDAW,"Enhance temporary measures currently in place in the form of quotas, in order to ensure the representation of women in high-level positions in universities and other educational institutions",2010,equality in education,0,1,0,0,0,0,false,true,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0023,Albania,339,CEDAW,"Include information in next report on the educational situation and opportunities of disabled women and girls, paritcularly Roma women and girls",2010,equality in education,0,1,0,333,0,333,false,true,1,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0024,Albania,339,CEDAW,"Ensure de facto equal opportunities for women and men in the labour market through the use of temporary speical measures, including in respect of women who have been without work since the transitional period and are without adequate social insurance, so as to avoid them having to rely on social assistance when reaching the pension age.",2010,equality in employment,0,0,0,1,1,0,false,true,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0025,Albania,339,CEDAW,Monitor closely the situation of women working in the informal sector or at home,2010,equality in employment,0,0,0,1,0,1,false,true,2,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0026,Albania,339,CEDAW,introduce employment-related measures to make sure women have access to full-time and permanent jobs with adequate social benefits if they wish,2010,equality in employment,0,0,0,0,1,0,false,true,6,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0027,Albania,339,CEDAW,Strengthen special training programmes for different groups of unemployed women,2010,equality in employment,0,0,0,1,0,1,false,true,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0028,Albania,339,CEDAW,Effective measures allowing for the reconciliation of family and professional responsibilities be strengthened,2010,equality in employment,0,0,1,0,1,0,false,true,6,3,CEDAW/C/ALB/CO/3,,,,,
CEDAW0029,Albania,339,CEDAW," Promote sharing of domestic and family responsibilities between men and women through further awareness-raising and education initiatives for both women and men on the adequate sharing of care of children and other dependent family members, and domestic tasks.",2010,equality in employment,1,0,0,0,0,0,false,true,4,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0030,Albania,339,CEDAW,Review the issue of wage differentials between women and men and to avail itself of existing research and practice with regard to equal pay for equal work or work of equal value in order to overcome the pay gap,2010,equality in employment,0,0,1,0,0,0,false,true,2,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0031,Albania,339,CEDAW,"Stengthen labour inspection measures in order to ensure better implementation of the labour code, particularly with respect to harzardous workplaces occupied by women, women working at home or in the informal sector and sexual harassment at the workplace",2010,equality in employment,0,0,0,1,1,0,false,true,2,2,CEDAW/C/ALB/CO/3,,,,,
CEDAW0032,Andorra,232,CEDAW,"Ensure the adoption of a comprehensive law addressing all forms of violence against women, establishing measure to prevent and combat them",2013,Violence against women,0,0,1,1,0,1,true,false,5,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0033,Andorra,232,CEDAW,"Amend the Criminal Code to criminalize all forms of violence against women including sexual violence and stalking, and establish measures to provide victims with redress",2013,Violence against women,0,1,0,0,0,0,true,false,5,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0034,Andorra,232,CEDAW,Strengthen efforts to prevent violence against women including by conducting awareness-raising and education campaigns to inform women and girls about their right to be free from violence and about available support and legal remedies for victims,2013,Violence against women,999,999,999,999,999,1,true,false,8,1,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0035,Andorra,232,CEDAW,Provide adequate assistance to women victims of violence and ensure that victims have legal remedies (restraining orders),2013,Violence against women,0,1,0,0,0,0,true,false,3,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0036,Andorra,232,CEDAW,Provide adequate assistance to women victims of violence and ensure that victims have legal remedies ( shelters and medical and psychosocial support),2013,Violence against women,0,0,1,1,0,1,true,false,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0037,Andorra,232,CEDAW,Provide public funding to NGOs to operate shelters (VAW),2013,Violence against women,0,1,0,0,0,0,true,false,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0038,Andorra,232,CEDAW,"Provide training to police on gender-sensitive methods for investigating cases of violence against women and for providing age- appropriate advice to victims, taking into consideration their socioeconomic situation",2013,Violence against women,0,0,0,0,1,0,true,false,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0039,Andorra,232,CEDAW,Accelerate the ratification of the Council fo Europe Convention on Preventing and Combating Violence against Women and Domestic Violence,2013,Violence against women,0,0,0,0,0,1,true,false,1,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0040,Andorra,232,CEDAW,Undertake investigations into possible cases of trafficking in women and girls,2013,Violence against women,0,0,0,0,0,1,true,false,3,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0041,Andorra,232,CEDAW,Provide information in next periodic report on investigations into possible cases of trafficking in women and girls,2013,Violence against women,0,0,0,0,0,1,true,false,1,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0042,Andorra,232,CEDAW,"Adopt a national action plan against trafficking in human beings (particularly women and girls), including strategies for the prevention of trafficking and forced prostitution, measures aimed at identifying victims of trafficking and mechanisms to protect them and provide them with adequate support and redress",2013,Violence against women,0,1,0,0,0,0,true,false,8,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0043,Andorra,232,CEDAW,Conduct awareness raising campaigns about the criminal nature and risks of trafficking and forced prostitution of women and girls,2013,Violence against women,0,0,0,1,1,0,true,false,4,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0044,Andorra,232,CEDAW,"Amend Criminal Code with a view to specifically criminalizing trafficking in human beings in particular women and girls, and forced prostitution",2013,Violence against women,0,0,0,1,0,1,true,false,5,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0045,Andorra,232,CEDAW,Strengthen bilateral and regional cooperation mechanisms in order to prevent trafficking in women and girls,2013,Violence against women,0,1,0,0,0,333,true,false,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0046,Andorra,232,CEDAW,"protect victims and prosecute traffickers, within the framework of existing regional treaties",2013,Violence against women,0,0,0,0,1,0,true,false,3,2,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0047,Andorra,232,CEDAW,Adopt temporary special measures aimed at advancing women in political life and in leadership positions and ensure that such measures are swiftly implemented,2013,Equality in public life,0,1,0,0,0,333,false,true,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0048,Andorra,232,CEDAW,Provide incentives for political parties to nominate equal numbers of women and men as candidates,2013,Equality in public life,0,0,0,0,1,0,false,true,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0049,Andorra,232,CEDAW,Strengthen targeted training and mentoring programs on leadership and negotiation skills for current and potential women candidates,2013,Equality in public life,0,0,0,0,1,0,false,true,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0050,Andorra,232,CEDAW,Provide training and capacity-building for women to enable them to enter public office,2013,Equality in public life,0,0,0,0,1,0,false,true,4,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0051,Andorra,232,CEDAW,Enhance campaigns to raise awareness of the importance of women's full and equal participation in political and public life,2013,Equality in public life,0,0,0,0,1,0,false,true,4,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0052,Andorra,232,CEDAW,Periodicially assess the representation of women in the higher level of public administartion with a  view to identifying and removing  barriers to their equal participation,2013,Equality in public life,0,0,0,1,0,1,false,true,2,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0053,Andorra,232,CEDAW,"Provide training for politicians, journalists, teachers and local officials to promote understanding of the right of women to equal participation in political and public life",2013,Equality in public life,0,0,0,1,1,0,false,true,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0054,Andorra,232,CEDAW,"Set up a system for collecting statistical data, disaggregated by sex and age, on the access of women and girls to equal education",2013,Equality in education,0,1,0,0,0,0,false,true,2,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0055,Andorra,232,CEDAW,"Implement a strategy to promote the enrollment of women in vocational education and training in traditionally male-dominated fields of study, through career counseling and providing incentives for girls to choose non-traditional careers",2013,Equality in education,0,0,1,1,1,0,false,true,4,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0056,Andorra,232,CEDAW,"Ensure that school curricula, academic programes and professional training for teachers cover women's rights and promote gender equality",2013,Equality in education,0,0,0,1,1,0,false,true,4,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0057,Andorra,232,CEDAW,combat discrimination against school girls on the basis of sex and disability,2013,Equality for disadvantaged women,999,999,999,999,1,999,true,false,4,1,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0058,Andorra,232,CEDAW,Become a member of ILO,2013,Equality in employment,1,0,0,0,0,0,false,true,1,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0059,Andorra,232,CEDAW,"Consider ratifying core ILO conventions (100, 111, 156)",2013,Equality in employment,1,0,0,0,0,0,false,true,1,1,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0060,Andorra,232,CEDAW,Adopt a legislative framework and specific measures to recognize the principle of equal pay for work of equal value,2013,Equality in employment,0,0,0,0,1,0,false,true,5,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0061,Andorra,232,CEDAW,adopt policies to achieve substantive equality of women and men in the labour market,2013,Equality in employment,999,999,999,999,1,999,false,true,6,1,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0062,Andorra,232,CEDAW,Eliminate occupational segregation and close the gender pay gap,2013,Equality in employment,999,1,999,999,333,999,false,true,8,1,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0063,Andorra,232,CEDAW,"Design and implement measures to enable women and men to reconcile work and family life, including paid parental leave",2013,Equality in employment,0,0,1,1,0,0,false,true,6,2,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0064,Andorra,232,CEDAW,Adopt measures to regulate and monitor the situation of women domestic workers,2013,Equality in employment,0,1,0,0,0,0,false,true,2,2,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0065,Andorra,232,CEDAW,ensure that complaint mechanisms and other remedies are available to women domestic workers,2013,Equality in employment,0,1,0,0,0,0,false,true,3,2,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0066,Andorra,232,CEDAW,"Prohibit sexual harassment, train and raise the awareness of labour inspectors regarding exploitative practices in the workplace, and prosecute and sanction offenders",2013,"violence against women, equality in employment",0,1,0,333,0,333,true,true,6,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0067,Andorra,232,CEDAW,Ensure access to employment for women with disabilities by providing adequate vocational training and accessible information on employment opportunities including self-employment,2013,Equality for female minorities in employment,0,1,0,333,0,333,false,true,4,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0068,Andorra,232,CEDAW,"Ensure that the Labour Relations Code applies to women migrant workers, including domestic workers, and that they have access to legal compalint procedures for the protection of rights in line with the criteria in the Committee’s general recommendation No. 26 on women migrant workers",2013,Equality in employment,0,1,0,0,0,0,false,true,5,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0069,Andorra,232,CEDAW,Adopt a legislative framework to address the rights and needs of women migrant workers and women asylum seekers including measures to protect all migrant women against refoulement,2013,Equality for women asylum seekers,0,1,0,0,0,0,false,true,5,2,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0070,Andorra,232,CEDAW,"Consider implementing economic temporary measures with the aim of developing and strengthening the capacity of women entrepreneurs, in particular young women who intend to manage their own business.",2013,Equality in employment,999,999,999,999,999,1,false,true,6,1,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0071,Andorra,232,CEDAW,Raise the minimum age of marriage to 18 years for girls and boys,2013,Gender equality,0,0,0,1,1,0,true,false,5,3,CEDAW/C/AND/CO/2-3,,,,,
CEDAW0072,Armenia,371,CEDAW,"Ensure the minimum age of marriage is raised for women to 18 and remove any exceptions to this minimum age, in accordance with article 16 of the Convention and the Committee's general recommendation No. 21",2009,Violence against women,0,0,0,0,0,1,true,false,5,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0073,Armenia,371,CEDAW,"Expedite the process to amend the Election Code to raise the 15 percent quota,",2009,Equality in public life,0,0,0,0,0,1,false,true,5,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0074,Armenia,371,CEDAW,"Expedite the process to amend the Election Code to raise the 15 percent quota, and consider raising it beyond the proposed 20 percent",2009,Equality in public life,999,1,999,999,999,999,false,true,5,1,CEDAW/C/ARM/CO/4,,,,,
CEDAW0075,Armenia,371,CEDAW,"Give priority attention to eliminating all forms of violence aginst women, in particular domestic violence, and to adopt comprehensive measures to adress it in accordance with the Committee's general recommendatioon No.19",2009,Violence against women,0,0,1,1,0,1,true,false,8,2,CEDAW/C/ARM/CO/4,,,,,
CEDAW0076,Armenia,371,CEDAW,"Implement training for judiciary and public officials, in particular law enforcement personnel and health-service providers, esnuring that they are sensitized to all forms of violence against women (in particular, domestic violence) and can provide support to victims",2009,Violence against women,0,1,0,0,0,0,true,false,6,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0077,Armenia,371,CEDAW,Implement public awareness-raising and zero-tolerance campaigns in regard to violence against women,2009,Violence against women,0,0,0,0,1,0,true,false,4,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0078,Armenia,371,CEDAW,Implement national action plan to combat trafficking in persons for the period 2007-2009,2009,Violence against women,222,222,222,222,222,222,true,false,7,2,CEDAW/C/ARM/CO/4,,,,,
CEDAW0079,Armenia,371,CEDAW,"effectively enforce article 132 of the Criminal Code, and to take measures addressing the main causesof trafficking in order to further curb the phenomenon",2009,Violence against women,1,0,0,0,0,0,true,false,3,1,CEDAW/C/ARM/CO/4,,,,,
CEDAW0080,Armenia,371,CEDAW,Expand funding for shelters for victims of both gender-based violence as well as trafficking,2009,Violence against women,0,1,0,0,0,0,true,false,6,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0081,Armenia,371,CEDAW,Take all the necessary steps to ensure the rehabilitation and social reintegration of victims of trafficking,2009,Violence against women,0,0,0,1,0,1,true,false,3,2,CEDAW/C/ARM/CO/4,,,,,
CEDAW0082,Armenia,371,CEDAW,Include sex disaggregated information on the exploitation of prostitution in its next periodic report,2009,Violence against women,1,0,0,0,0,0,true,false,2,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0083,Armenia,371,CEDAW,Strengthen measures aimed at allviating women's extremely difficult social and economic situation to put services in place for the rehabilitation and reintegration into society of women and girls in prostitution and to support women who wish to stop practising prostitution,2009,Violence against women,0,1,0,0,0,0,true,false,6,2,CEDAW/C/ARM/CO/4,,,,,
CEDAW0084,Armenia,371,CEDAW,Implement national awareness-raising campaigns about the importance of women's participation in public and poltiical life specifically in rural areas,2009,Equality in public life,1,0,0,0,0,0,false,true,4,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0085,Armenia,371,CEDAW,"Increase women's representation in political and public life, including at the international level",2009,Equality in public life,999,999,999,999,999,1,false,true,8,1,CEDAW/C/ARM/CO/4,,,,,
CEDAW0086,Armenia,371,CEDAW,"Use temporary special measures, including establishing benchamarks with timetables or increased quotas for women in political life",2009,Equality in public life,0,0,0,0,0,1,false,true,6,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0087,Armenia,371,CEDAW,"Ensure the safety of women in political life, encourage their participation in public affairs",2009,Equality in public life,1,0,0,0,0,0,false,true,8,1,CEDAW/C/ARM/CO/4,,,,,
CEDAW0088,Armenia,371,CEDAW,Hold seminars and awareness raising activities with a focus on helping parents to understand the important role of education for girls,2009,Equality in education,1,0,0,0,0,0,false,true,4,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0089,Armenia,371,CEDAW,implement special measures to allow girls and women who have dropped out of school to re-enter the education system in an age-appropriate classroom environment,2009,Equality in education,1,0,0,0,0,0,false,true,4,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0090,Armenia,371,CEDAW,Continue to review all school textbooks to eliminate gender-role stereotypes,2009,Equality in education,0,0,0,1,0,1,false,true,4,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0091,Armenia,371,CEDAW,impelment programmes encouraging girls to enter non-traditional study courses,2009,Equality in education,0,0,0,0,0,1,false,true,4,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0092,Armenia,371,CEDAW,"Adopt policies to increase the number of women holding positions in doctoral studies, research specialists, and decision-making positions and to work towards ensuring de facto equal opportunities at all levels for women in the labor market",2009,Equality in education,0,1,0,333,0,333,false,true,6,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0093,Armenia,371,CEDAW,Adopt policies and concrete legislative measures to accelerate the eradication of employment discrimination against women,2009,Equality in employment,999,999,999,999,999,1,false,true,5,1,CEDAW/C/ARM/CO/4,,,,,
CEDAW0094,Armenia,371,CEDAW,Adopt policies and concerete legislative measures against sexual harassment against women in the workplace,2009,Violence against women,1,0,0,0,0,0,true,true,5,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0095,Armenia,371,CEDAW,Ensure that job evaluation systems  based on gender-sensitive criteria be developed with the aim of closing the existing wage gap between women and men and impelmenting pay equity,2009,Equality in employment,1,0,0,0,0,0,false,true,2,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0096,Armenia,371,CEDAW,Continue its efforts to raise salaries in female-dominated sectors of the State budget economy,2009,Equality in employment,1,0,0,0,0,0,false,true,6,2,CEDAW/C/ARM/CO/4,,,,,
CEDAW0097,Armenia,371,CEDAW,"Make greater use of temporary special measures by applying numerical goals with goals and timetables or quotas in respect of women's access and retention in vocational training, including for non-traditional jobs, and the promotion of women into the upper levels of the public sector",2009,Equality in employment,0,1,0,0,0,0,false,true,6,3,CEDAW/C/ARM/CO/4,,,,,
CEDAW0098,Austria,305,CEDAW,"Adopt policies and take proactive and concrete measures to eliminate occupational segregation both horizontal and vertical, and to narrow and close the pay gap between women and men",2007,Equality in employment,999,999,999,999,1,999,false,true,6,1,CEDAW/C/AUT/CO/6,,,,,
CEDAW0099,Austria,305,CEDAW,Put priority on realizing the de facto equal opportunities for women and men in the labour market,2007,Equality in employment,999,999,999,999,999,1,false,true,8,1,CEDAW/C/AUT/CO/6,,,,,
CEDAW0100,Austria,305,CEDAW,Monitor trends (through collection of disagregated data) on the impact of measures taken and results achieved on equal opportunities in the labour market,2007,Equality in employment,0,0,0,0,0,1,false,true,2,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0101,Austria,305,CEDAW,"Ensure that women have access to adequate pensions and full social benefits, also with a view to addressing women’s poverty levels",2007,Equality in employment,0,0,0,0,1,0,false,true,6,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0102,Austria,305,CEDAW,"Adopt and implement measures to facilitate the reconciliation of family and professional responsibilities, including the provision of additional childcare facilities for children of different age groups, and that greater involvement of men in domestic and family tasks be promoted with the aim of balanced participation of women and men in both the private and public spheres",2007,Equality in employment,0,0,0,0,0,1,false,true,6,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0103,Austria,305,CEDAW,"Intensify efforts to prevent and address all forms of violence agaisnt women, including domestic violence",2007,Violence against women,999,999,999,999,999,1,true,false,8,1,CEDAW/C/AUT/CO/6,,,,,
CEDAW0104,Austria,305,CEDAW,"Put in place expeditiously a comprehensive strategy or action plan and a campaign to prevent and eliminate all forms of violence against women and an effective institutional mechanism to coordinate, monitor and assess the effectiveness of measures taken",2007,Violence against women,0,1,0,0,0,0,true,false,8,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0105,Austria,305,CEDAW,Intensify awareness-raising efforts with regard to violence against women and the unacceptability of all such violence,2007,Violence against women,0,0,0,0,0,1,true,false,4,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0106,Austria,305,CEDAW,Ensure that a sufficient number of safe crisis and intervention centers and shelters are available to women victims of violencestaffed by expert personnel and provided with adequate financial resources for their effective functioning,2007,Violence against women,0,0,1,1,0,1,true,false,6,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0107,Austria,305,CEDAW,Enhance cooperation with and support for NGOs working in the area of violence against women,2007,Violence against women,0,0,0,1,0,1,true,false,6,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0108,Austria,305,CEDAW,Ensure the systematic collection of data (disaggregated) in order to monitor its implementation,2007,Violence against women,0,1,0,0,0,333,true,false,2,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0109,Austria,305,CEDAW,"Ensure that the newly drafted national action plan against human trafficking contains a comprehensive strategy to combat trafficking in women and grils and contains preventive measures, measures to ensure the effective prosectuion and punishment of offenders",2007,Violence against women,0,0,0,1,0,1,true,false,3,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0110,Austria,305,CEDAW,"Ensure that the newly drafted national action plan against human trafficking contains a comprehensive strategy to combat trafficking in women and grils and contains preventive measures, victim support recovery mesaures, legal and psychosocial support as well as the creation of livelihood options when necessary",2007,Violence against women,0,0,0,1,0,1,true,false,6,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0111,Austria,305,CEDAW,Enhance training and capacity-building efforts for law enforcement and border patrol officials so as to increase their ability to recognize potential victims of trafficking,2007,Violence against women,0,1,0,0,0,333,true,false,6,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0112,Austria,305,CEDAW,"Strengthen bilateral, regional, and international cooperation with countries or origin, transit, and destination",2007,Violence against women,0,1,0,333,0,333,true,false,1,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0113,Austria,305,CEDAW,Provide comprhensive information and data on trafficking in the next periodic report,2007,Violence against women,0,1,0,0,0,0,true,false,2,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0114,Austria,305,CEDAW,Take measures to accelerate the achievement of women's full and equal participation in all elected and appointed bodies especially at the decision-making level,2007,Equality in public life,999,1,999,999,999,333,false,true,6,1,CEDAW/C/AUT/CO/6,,,,,
CEDAW0115,Austria,305,CEDAW,Work towards strengthening women's position in leadership roles in academia and in decision-making posts in economic life,2007,Equality in public life,0,0,0,1,0,1,false,true,6,2,CEDAW/C/AUT/CO/6,,,,,
CEDAW0116,Austria,305,CEDAW,"Monitor the impact of measures taken and results achieved over time and to provide in its next report information on women's representation in all branches of government, including at the municipal level",2007,Equality in public life,0,1,0,0,0,333,false,true,2,3,CEDAW/C/AUT/CO/6,,,,,
CEDAW0117,Austria,305,CEDAW,Adopt measures for the integration of women of all minority groups in vulnerable circumstances into society and the labour market,2007,Equality in employment for migrant women,999,999,999,999,1,999,false,true,6,1,CEDAW/C/AUT/CO/6,,,,,
CEDAW0118,Austria,305,CEDAW,"Strengthen implementation and monitoring of the Federal Act for Protection against Violence within the Family and related criminal law, by acting with due diligence to prevent and respond to such violence against women and adequately providing for sanctions for the failure to do so",2007,Violence against women,0,0,1,1,0,0,true,false,7,3,CEDAW/C/39/D/6/2005,,,,,
